i, j, number of events processed, number of events selected
1033, 0, 56607, 104
1034, 0, 56532, 114
1035, 0, 56492, 113
1036, 0, 56994, 120
1037, 0, 56527, 109
1038, 0, 56586, 122
1039, 0, 56481, 125
1040, 0, 56819, 131
1041, 0, 56462, 127
1042, 0, 56732, 122
1043, 0, 56558, 123
1044, 0, 56717, 111
1045, 0, 56586, 117
1046, 0, 56438, 119
1047, 0, 56627, 113
1048, 0, 56995, 130
1049, 0, 56462, 142
1050, 0, 56999, 116
1051, 0, 56190, 130
1052, 0, 56672, 126
1053, 0, 56933, 126
1054, 0, 56288, 120
1055, 0, 56529, 142
1056, 0, 56647, 127
1057, 0, 56637, 114
1058, 0, 56705, 141
1059, 0, 56529, 144
1060, 0, 56719, 119
1061, 0, 56609, 119
1062, 0, 56319, 115
1063, 0, 56999, 121
1064, 0, 56915, 125
1065, 0, 56853, 148
1066, 0, 56314, 103
1067, 0, 56555, 122
1068, 0, 56719, 133
1069, 0, 56783, 125
1070, 0, 56502, 123
1071, 0, 56373, 125
1072, 0, 56520, 111
1073, 0, 56251, 140
1074, 0, 56673, 138
1075, 0, 56949, 126
1076, 0, 56795, 131
1077, 0, 56617, 107
1080, 0, 57080, 126
1078, 0, 56823, 129
1079, 0, 56766, 120
1081, 0, 56817, 124
1082, 0, 56864, 117
1083, 0, 57214, 127
1084, 0, 56243, 131
1085, 0, 56765, 121
1086, 0, 56591, 121
1087, 0, 56697, 116
1089, 0, 56690, 143
1088, 0, 56513, 138
1090, 0, 56211, 114
1091, 0, 56035, 118
1092, 0, 56665, 135
1093, 0, 56771, 123
1094, 0, 56837, 133
1095, 0, 56925, 120
1096, 0, 56869, 104
1097, 0, 56839, 122
1098, 0, 56927, 126
1099, 0, 56690, 124
1100, 0, 56797, 122
1101, 0, 56730, 110
1102, 0, 56536, 144
1103, 0, 56784, 138
1104, 0, 56957, 126
1105, 0, 56853, 141
1106, 0, 56654, 131
1107, 0, 56409, 140
1108, 0, 56413, 134
1109, 0, 57010, 129
1110, 0, 56757, 148
1111, 0, 56887, 132
1112, 0, 56589, 113
1113, 0, 56763, 137
1114, 0, 56595, 122
1115, 0, 56742, 138
1116, 0, 56585, 142
1117, 0, 56792, 114
1118, 0, 57072, 144
1119, 0, 56456, 142
1120, 0, 56125, 122
1121, 0, 57043, 126
1122, 0, 56876, 120
1123, 0, 56596, 122
1124, 0, 56635, 109
1125, 0, 56505, 122
1126, 0, 56797, 108
1127, 0, 56471, 123
1128, 0, 56346, 100
1129, 0, 56624, 140
1130, 0, 56654, 130
1131, 0, 56506, 129
1133, 0, 56348, 119
1132, 0, 56125, 112
1134, 0, 56338, 131
1135, 0, 56846, 129
1136, 0, 56140, 107
1137, 0, 56452, 125
1138, 0, 56901, 104
1139, 0, 56969, 122
1140, 0, 56704, 129
1142, 0, 56431, 116
1141, 0, 56979, 137
1143, 0, 56168, 119
1144, 0, 56535, 117
1145, 0, 56515, 119
1146, 0, 56819, 133
1147, 0, 56957, 123
1148, 0, 56361, 133
1149, 0, 56620, 138
1151, 0, 56757, 106
1150, 0, 57220, 131
1152, 0, 56728, 126
1153, 0, 56322, 107
1154, 0, 57180, 132
1155, 0, 56774, 123
1156, 0, 56405, 114
1157, 0, 56826, 135
1158, 0, 56545, 110
1159, 0, 56859, 125
1160, 0, 56362, 134
1161, 0, 56635, 137
1162, 0, 56477, 136
1163, 0, 56522, 100
1164, 0, 56596, 99
1165, 0, 56755, 118
1167, 0, 56742, 117
1166, 0, 56410, 134
1168, 0, 56777, 134
1170, 0, 56951, 116
1169, 0, 56877, 132
1171, 0, 56965, 118
1172, 0, 57256, 110
1173, 0, 57146, 140
1174, 0, 56690, 100
1175, 0, 56769, 138
1176, 0, 56712, 113
1177, 0, 56610, 151
1178, 0, 56904, 134
1179, 0, 56352, 128
1180, 0, 56870, 125
1181, 0, 56595, 130
1182, 0, 56681, 126
1183, 0, 56689, 140
1184, 0, 56634, 129
1186, 0, 56709, 118
1185, 0, 56489, 142
1187, 0, 56749, 105
1188, 0, 57150, 132
1189, 0, 56849, 129
1190, 0, 57069, 121
1191, 0, 56392, 115
1192, 0, 56375, 112
1193, 0, 56601, 135
1194, 0, 56849, 129
1195, 0, 56693, 110
1196, 0, 56665, 137
1197, 0, 56373, 127
1198, 0, 56807, 123
1199, 0, 56379, 127
1200, 0, 56721, 113
1201, 0, 56915, 132
1202, 0, 56431, 114
1203, 0, 56524, 109
1204, 0, 56855, 123
1205, 0, 56709, 123
1206, 0, 56813, 109
1208, 0, 56689, 128
1207, 0, 57227, 116
1209, 0, 56803, 137
1210, 0, 56755, 126
1211, 0, 56444, 111
1212, 0, 56403, 139
1213, 0, 56828, 124
1214, 0, 56874, 115
1215, 0, 56755, 131
1216, 0, 56918, 117
1217, 0, 56676, 133
1218, 0, 56670, 121
1219, 0, 56773, 127
1221, 0, 56871, 129
1220, 0, 56614, 138
1222, 0, 56217, 133
1224, 0, 56522, 124
1223, 0, 56283, 123
1225, 0, 56750, 121
1226, 0, 56314, 102
1228, 0, 56831, 136
1227, 0, 56840, 112
1229, 0, 56462, 111
1230, 0, 56637, 142
1231, 0, 56881, 111
1232, 0, 56684, 127
1233, 0, 56915, 113
1234, 0, 56580, 112
1235, 0, 56645, 121
1236, 0, 56909, 127
1237, 0, 56605, 123
1238, 0, 57050, 118
1239, 0, 57133, 125
1240, 0, 56387, 108
1241, 0, 56701, 139
1242, 0, 56496, 138
1244, 0, 56565, 128
1243, 0, 56474, 133
1245, 0, 57109, 128
1246, 0, 56759, 103
1247, 0, 56552, 122
1248, 0, 57069, 141
1249, 0, 56496, 127
1250, 0, 56268, 113
1251, 0, 56686, 109
1252, 0, 56702, 121
1253, 0, 56547, 121
1254, 0, 56885, 115
1255, 0, 56630, 107
1256, 0, 57148, 120
1257, 0, 57112, 144
1258, 0, 56732, 140
1259, 0, 56288, 105
1260, 0, 56255, 109
1261, 0, 56468, 120
1262, 0, 56468, 136
1263, 0, 56264, 124
1265, 0, 56524, 143
1264, 0, 56539, 145
1267, 0, 56801, 128
1266, 0, 56527, 118
1269, 0, 56948, 131
1268, 0, 56237, 143
1270, 0, 56779, 130
1271, 0, 56525, 123
1272, 0, 56575, 145
1274, 0, 57188, 108
1273, 0, 56924, 117
1275, 0, 56626, 116
1276, 0, 56687, 123
1277, 0, 56796, 131
1278, 0, 56869, 124
1279, 0, 56312, 137
1280, 0, 56371, 117
1281, 0, 56169, 121
1282, 0, 56846, 103
1283, 0, 56749, 124
1284, 0, 56334, 122
1286, 0, 56820, 127
1285, 0, 56719, 147
1287, 0, 56342, 130
1288, 0, 56876, 128
1289, 0, 56625, 113
1290, 0, 56524, 113
1291, 0, 56673, 126
1292, 0, 56722, 112
1293, 0, 56431, 114
1294, 0, 56537, 116
1295, 0, 56843, 133
1296, 0, 56761, 135
1297, 0, 57137, 124
1298, 0, 56890, 131
1299, 0, 57048, 116
1300, 0, 56578, 123
1301, 0, 56833, 110
1302, 0, 56599, 120
1303, 0, 56693, 103
1304, 0, 56450, 126
1305, 0, 56816, 150
1306, 0, 56634, 103
1307, 0, 56512, 128
1308, 0, 56557, 132
1310, 0, 56659, 117
1309, 0, 57204, 128
1311, 0, 56585, 142
1312, 0, 56679, 104
1313, 0, 56888, 114
1315, 0, 56926, 121
1314, 0, 56951, 131
1316, 0, 56202, 115
1317, 0, 56598, 125
1318, 0, 56784, 99
1319, 0, 56655, 121
1320, 0, 57144, 115
1321, 0, 56589, 135
1322, 0, 56696, 127
1323, 0, 57285, 125
1324, 0, 56791, 110
1325, 0, 56527, 129
1326, 0, 56440, 118
1327, 0, 56811, 112
1328, 0, 56623, 114
1329, 0, 56945, 134
1330, 0, 56623, 128
1331, 0, 56732, 134
1332, 0, 56814, 150
1333, 0, 56914, 107
1334, 0, 56711, 130
1335, 0, 56749, 128
1336, 0, 56777, 105
1338, 0, 57141, 130
1337, 0, 56573, 127
1339, 0, 56349, 113
1340, 0, 56372, 123
1341, 0, 57202, 127
1342, 0, 56781, 108
1343, 0, 56647, 118
1344, 0, 56507, 113
1345, 0, 57042, 105
1346, 0, 56763, 128
1347, 0, 56515, 152
1348, 0, 56630, 132
1349, 0, 56629, 126
1350, 0, 56473, 152
1351, 0, 56427, 111
1352, 0, 56160, 110
1353, 0, 56563, 117
1354, 0, 56787, 123
1355, 0, 56461, 121
1356, 0, 56776, 138
1358, 0, 56694, 111
1357, 0, 56623, 114
1359, 0, 56298, 125
1360, 0, 56287, 125
1362, 0, 56642, 123
1361, 0, 56502, 114
1363, 0, 56402, 131
1364, 0, 56674, 114
1365, 0, 56746, 126
1366, 0, 56674, 129
1367, 0, 57098, 139
1368, 0, 56381, 116
1369, 0, 56212, 125
1370, 0, 56396, 121
1371, 0, 56962, 128
1372, 0, 56380, 120
1373, 0, 56760, 150
1374, 0, 56582, 124
1375, 0, 56144, 120
1376, 0, 56774, 107
1378, 0, 56905, 112
1379, 0, 56895, 120
1377, 0, 56853, 141
1380, 0, 56749, 132
1381, 0, 56299, 129
1382, 0, 56880, 122
1383, 0, 57046, 141
1384, 0, 56721, 114
1386, 0, 56236, 97
1385, 0, 56781, 128
1387, 0, 56525, 114
1389, 0, 56742, 139
1388, 0, 56678, 131
1390, 0, 56924, 122
1391, 0, 56859, 145
1392, 0, 56477, 121
1393, 0, 56716, 130
1394, 0, 56919, 143
1395, 0, 56789, 123
1397, 0, 56717, 111
1396, 0, 57047, 109
1398, 0, 56409, 129
1399, 0, 56478, 132
1400, 0, 56544, 121
1401, 0, 56611, 110
1402, 0, 56536, 133
1403, 0, 56462, 109
1404, 0, 56417, 121
1405, 0, 56604, 118
1406, 0, 56553, 139
1407, 0, 56799, 115
1408, 0, 56805, 130
1409, 0, 56222, 111
1410, 0, 56965, 122
1411, 0, 56674, 125
1412, 0, 56701, 126
1413, 0, 56631, 123
1414, 0, 56943, 142
1415, 0, 56370, 100
1416, 0, 57038, 124
1417, 0, 57297, 116
1418, 0, 56812, 126
1419, 0, 56594, 115
1420, 0, 56860, 128
1421, 0, 56498, 124
1422, 0, 56472, 126
1423, 0, 56447, 115
1424, 0, 56677, 123
1425, 0, 56712, 139
1426, 0, 57007, 134
1427, 0, 56936, 117
1428, 0, 56310, 121
1429, 0, 56733, 104
1430, 0, 56570, 129
1431, 0, 56632, 118
1433, 0, 56618, 147
1432, 0, 56650, 155
1434, 0, 56786, 138
1435, 0, 56811, 119
1436, 0, 56706, 122
1437, 0, 56544, 132
1438, 0, 56691, 130
1439, 0, 56915, 119
1440, 0, 57016, 107
1441, 0, 56856, 148
1442, 0, 56690, 122
1443, 0, 56668, 114
1444, 0, 56846, 105
1445, 0, 56982, 118
1446, 0, 56757, 126
1447, 0, 56995, 129
1448, 0, 56656, 121
1449, 0, 57029, 141
1450, 0, 56586, 126
1451, 0, 56736, 144
1452, 0, 56649, 122
1454, 0, 56436, 110
1453, 0, 56661, 124
1455, 0, 56596, 143
1456, 0, 56399, 116
1457, 0, 56884, 118
1458, 0, 56382, 128
1459, 0, 56597, 117
1460, 0, 56532, 123
1461, 0, 56519, 123
1462, 0, 56308, 122
1463, 0, 56667, 119
1464, 0, 56555, 111
1465, 0, 56853, 117
1466, 0, 56685, 140
1467, 0, 56653, 115
1468, 0, 56372, 151
1469, 0, 56817, 131
1470, 0, 56310, 125
1471, 0, 56694, 123
1472, 0, 56514, 115
1473, 0, 56774, 144
1474, 0, 56598, 127
1475, 0, 56633, 137
1476, 0, 56915, 134
1477, 0, 56340, 117
1478, 0, 56691, 109
1479, 0, 57033, 124
1480, 0, 56781, 134
1481, 0, 56296, 116
1482, 0, 56379, 121
1483, 0, 56426, 137
1484, 0, 56552, 131
1487, 0, 56676, 133
1486, 0, 56577, 150
1485, 0, 56253, 127
1488, 0, 57031, 129
1489, 0, 56841, 127
1490, 0, 56767, 141
1165, 0, 56755, 118
1492, 0, 56471, 124
1165, 0, 56755, 118
1491, 0, 56523, 122
1493, 0, 56569, 129
1491, 0, 56523, 122
1493, 0, 56569, 129
1491, 0, 56523, 122
1493, 0, 56569, 129
1491, 0, 56523, 122
1493, 0, 56569, 129
1491, 0, 56523, 122
1493, 0, 56569, 129
1491, 0, 56523, 122
1493, 0, 56569, 129
1491, 0, 56523, 122
1494, 0, 56581, 102
1495, 0, 56826, 132
1496, 0, 56889, 108
1497, 0, 56258, 129
1499, 0, 57024, 126
1498, 0, 56715, 159
1500, 0, 56877, 144
1501, 0, 57074, 105
1502, 0, 56347, 138
1503, 0, 56222, 125
1504, 0, 56406, 111
1505, 0, 56529, 124
1506, 0, 56117, 124
1507, 0, 56964, 134
1508, 0, 56567, 134
1509, 0, 56764, 127
1512, 0, 56466, 118
1511, 0, 56821, 111
1510, 0, 56310, 134
1513, 0, 56758, 130
1515, 0, 56925, 127
1514, 0, 56626, 140
1517, 0, 56751, 122
1519, 0, 56391, 122
1518, 0, 56699, 128
1516, 0, 56457, 131
1520, 0, 56474, 117
1521, 0, 56841, 150
1522, 0, 56690, 110
1523, 0, 56314, 125
1525, 0, 56364, 127
1524, 0, 56738, 113
1528, 0, 56314, 125
1527, 0, 56516, 137
1526, 0, 56696, 114
1529, 0, 56694, 132
1530, 0, 56544, 130
1531, 0, 56438, 124
1532, 0, 56558, 97
1533, 0, 56217, 126
1534, 0, 56860, 134
1535, 0, 56390, 145
1536, 0, 56736, 121
1537, 0, 57045, 118
1538, 0, 56532, 137
1539, 0, 56160, 118
1540, 0, 56782, 115
1541, 0, 56880, 116
1542, 0, 56317, 131
1543, 0, 56505, 117
1544, 0, 56990, 132
1545, 0, 57087, 112
1546, 0, 56955, 151
1547, 0, 56423, 125
1548, 0, 56690, 122
1549, 0, 56361, 131
1550, 0, 56621, 132
1552, 0, 56473, 126
1551, 0, 56578, 152
1553, 0, 56560, 110
1554, 0, 56558, 130
1555, 0, 56526, 124
1556, 0, 56743, 119
1557, 0, 56503, 107
1558, 0, 56795, 135
1559, 0, 56545, 117
1560, 0, 57055, 116
1561, 0, 56264, 115
1562, 0, 56629, 133
1564, 0, 56815, 107
1565, 0, 56219, 111
1563, 0, 56687, 109
1566, 0, 56625, 128
1567, 0, 56594, 133
1568, 0, 57059, 131
1569, 0, 56686, 101
1570, 0, 56139, 130
1571, 0, 56576, 119
1572, 0, 56874, 122
1573, 0, 56110, 130
1574, 0, 56622, 126
1575, 0, 56494, 121
1576, 0, 56645, 124
1577, 0, 56573, 113
1578, 0, 56878, 147
1579, 0, 56846, 124
1580, 0, 56657, 116
1581, 0, 56667, 132
1582, 0, 56829, 119
1584, 0, 56375, 125
1583, 0, 56569, 106
1585, 0, 56422, 113
1587, 0, 57255, 131
1586, 0, 56663, 126
1588, 0, 56418, 127
1589, 0, 56797, 108
1590, 0, 57087, 130
1591, 0, 56836, 145
1592, 0, 56806, 119
1593, 0, 57004, 113
1594, 0, 56684, 112
1595, 0, 56653, 111
1596, 0, 56504, 124
1597, 0, 56842, 122
1598, 0, 56530, 134
1599, 0, 57083, 110
1600, 0, 56556, 120
1601, 0, 56684, 104
1603, 0, 56490, 106
1602, 0, 56973, 123
1604, 0, 56910, 115
1605, 0, 56351, 108
1607, 0, 56771, 117
1606, 0, 56724, 149
1608, 0, 56751, 127
1609, 0, 56812, 142
1610, 0, 56472, 124
1611, 0, 56626, 123
1612, 0, 56666, 110
1613, 0, 56646, 119
1614, 0, 56867, 113
1615, 0, 57000, 118
1616, 0, 56393, 110
1617, 0, 56631, 133
1618, 0, 56791, 134
1619, 0, 56222, 128
1620, 0, 57156, 127
1621, 0, 56265, 105
1622, 0, 56250, 122
1623, 0, 56765, 122
1624, 0, 57330, 121
1627, 0, 56549, 100
1626, 0, 56448, 133
1625, 0, 56790, 136
1628, 0, 56556, 130
1630, 0, 56402, 102
1629, 0, 56263, 121
1631, 0, 56429, 114
1632, 0, 56447, 123
1633, 0, 56423, 120
1634, 0, 56381, 122
1635, 0, 56562, 125
1636, 0, 56173, 122
1639, 0, 56653, 115
1640, 0, 56840, 125
1638, 0, 56755, 118
1637, 0, 56804, 112
1641, 0, 56624, 147
1642, 0, 57207, 131
1643, 0, 56395, 125
1644, 0, 56480, 100
1645, 0, 56604, 117
1646, 0, 57048, 124
1647, 0, 56691, 123
1648, 0, 56562, 125
1649, 0, 57202, 131
1651, 0, 56700, 121
1650, 0, 56435, 126
1652, 0, 56884, 130
1653, 0, 57288, 134
1654, 0, 56395, 108
1655, 0, 56459, 120
1656, 0, 56555, 129
1657, 0, 56907, 124
1658, 0, 56837, 144
1659, 0, 56919, 147
1660, 0, 56773, 146
1661, 0, 56683, 110
1662, 0, 56496, 96
1663, 0, 56496, 106
1664, 0, 56593, 121
1665, 0, 56446, 117
1666, 0, 57110, 123
1667, 0, 56538, 115
1668, 0, 56661, 115
1669, 0, 56615, 120
1670, 0, 56575, 136
1671, 0, 56537, 121
1673, 0, 56520, 121
1672, 0, 56481, 112
1674, 0, 56503, 122
1675, 0, 56423, 142
1676, 0, 56895, 119
1677, 0, 56803, 122
1679, 0, 56971, 116
1678, 0, 56242, 130
1680, 0, 56809, 133
1681, 0, 56639, 123
1682, 0, 56523, 130
1683, 0, 56607, 108
1684, 0, 57003, 109
1685, 0, 57139, 122
1686, 0, 57196, 105
1687, 0, 56476, 132
1688, 0, 56999, 121
1689, 0, 56775, 144
1691, 0, 56938, 112
1690, 0, 56443, 125
1692, 0, 56533, 120
1693, 0, 56826, 136
1694, 0, 56288, 118
1695, 0, 56933, 118
1696, 0, 57036, 135
1697, 0, 57073, 126
1698, 0, 56536, 120
1699, 0, 56755, 153
1700, 0, 56553, 126
1702, 0, 56700, 138
1701, 0, 56542, 121
1703, 0, 56575, 120
1704, 0, 56109, 146
1705, 0, 57125, 123
1706, 0, 56465, 127
1707, 0, 56445, 111
1708, 0, 56674, 119
1710, 0, 56626, 131
1709, 0, 56784, 131
1711, 0, 56292, 121
1712, 0, 56938, 145
1714, 0, 56311, 135
1713, 0, 56522, 132
1715, 0, 56465, 123
1716, 0, 56518, 131
1717, 0, 56515, 119
1718, 0, 57124, 118
1720, 0, 56946, 147
1719, 0, 56667, 127
1721, 0, 56785, 108
1722, 0, 56823, 114
1723, 0, 56849, 123
1724, 0, 56643, 135
1725, 0, 56851, 109
1726, 0, 56452, 120
1727, 0, 56761, 143
1728, 0, 56736, 117
1729, 0, 56922, 113
1730, 0, 56413, 131
1731, 0, 56623, 121
1732, 0, 56913, 117
1733, 0, 56912, 125
1734, 0, 56636, 139
1735, 0, 56787, 132
1736, 0, 56686, 114
1737, 0, 56980, 142
1738, 0, 56583, 112
1739, 0, 56910, 118
1740, 0, 56450, 127
1741, 0, 56343, 124
1742, 0, 56973, 125
1744, 0, 56599, 135
1743, 0, 56469, 123
1746, 0, 56615, 131
1745, 0, 56567, 127
1747, 0, 57416, 107
1748, 0, 56938, 127
1749, 0, 56657, 118
1750, 0, 56571, 110
1751, 0, 56832, 130
1752, 0, 56829, 123
1753, 0, 56235, 125
1755, 0, 56641, 119
1756, 0, 56469, 144
1754, 0, 56631, 116
1757, 0, 56784, 136
1758, 0, 56749, 148
1759, 0, 56701, 113
1760, 0, 56889, 137
1761, 0, 56627, 131
1762, 0, 56780, 130
1764, 0, 56296, 135
1763, 0, 56681, 123
1765, 0, 56897, 151
1766, 0, 56555, 117
1767, 0, 56625, 156
1768, 0, 56947, 139
1769, 0, 56694, 114
1771, 0, 56638, 139
1770, 0, 57025, 135
1772, 0, 56816, 142
1773, 0, 56773, 127
1774, 0, 56668, 114
1775, 0, 56412, 133
1776, 0, 56572, 122
1777, 0, 56398, 135
1778, 0, 56677, 126
1779, 0, 56988, 136
1780, 0, 56355, 115
1781, 0, 56785, 126
1782, 0, 56739, 115
1783, 0, 56665, 127
1784, 0, 56337, 132
1785, 0, 56479, 119
1786, 0, 56928, 137
1787, 0, 56958, 126
1788, 0, 56771, 117
1789, 0, 56910, 139
1790, 0, 56669, 134
1791, 0, 56634, 132
1792, 0, 56224, 138
1793, 0, 56483, 111
1794, 0, 56760, 118
1795, 0, 56811, 119
1796, 0, 56439, 125
1797, 0, 56872, 136
1798, 0, 56771, 121
1799, 0, 56910, 117
1800, 0, 56870, 135
1801, 0, 56775, 140
1802, 0, 56848, 100
1803, 0, 56501, 139
1805, 0, 56469, 113
1804, 0, 56374, 119
1806, 0, 56326, 120
1807, 0, 56793, 115
1808, 0, 56432, 131
1809, 0, 56797, 137
1810, 0, 56382, 120
1811, 0, 56477, 118
1812, 0, 57013, 111
1813, 0, 56801, 113
1814, 0, 56498, 114
1815, 0, 56726, 138
1816, 0, 56500, 141
1817, 0, 56992, 125
1818, 0, 56979, 151
1819, 0, 56540, 131
1821, 0, 56483, 118
1820, 0, 56631, 125
1822, 0, 57150, 110
1823, 0, 56621, 115
1824, 0, 56390, 135
1825, 0, 56768, 127
1826, 0, 56563, 125
1827, 0, 56952, 111
1829, 0, 56650, 133
1828, 0, 56674, 140
1830, 0, 56791, 123
1831, 0, 56670, 133
1832, 0, 56776, 143
1833, 0, 56398, 137
1834, 0, 56543, 112
1835, 0, 56384, 122
1837, 0, 57384, 107
1836, 0, 56240, 126
1838, 0, 56740, 136
1839, 0, 56322, 124
1841, 0, 56223, 139
1840, 0, 56704, 138
1843, 0, 56590, 129
1842, 0, 56338, 125
1846, 0, 56641, 125
1845, 0, 56848, 123
1847, 0, 56540, 118
1844, 0, 56442, 122
1849, 0, 56684, 123
1848, 0, 56399, 150
1850, 0, 56794, 86
1852, 0, 56735, 142
1853, 0, 56500, 139
1851, 0, 56772, 107
1855, 0, 57049, 128
1854, 0, 56672, 131
1858, 0, 56475, 131
1859, 0, 56942, 118
1856, 0, 56616, 143
1857, 0, 56717, 133
1860, 0, 56737, 142
1862, 0, 56686, 129
1861, 0, 56701, 118
1864, 0, 56561, 121
1865, 0, 56867, 118
1870, 0, 56655, 116
1871, 0, 56584, 136
1869, 0, 56619, 127
1867, 0, 56331, 127
1863, 0, 56544, 124
1866, 0, 56710, 124
1868, 0, 56681, 143
1872, 0, 56203, 109
1875, 0, 56595, 122
1874, 0, 56732, 132
1873, 0, 57029, 125
1876, 0, 56945, 136
1877, 0, 56535, 129
1878, 0, 56592, 128
1879, 0, 56546, 135
1880, 0, 56704, 123
1881, 0, 56566, 128
1882, 0, 56852, 112
1883, 0, 56898, 133
1884, 0, 56877, 123
1885, 0, 55931, 143
1886, 0, 56890, 127
1888, 0, 56606, 121
1887, 0, 56807, 122
1889, 0, 56794, 131
1890, 0, 56776, 135
1891, 0, 56830, 111
1892, 0, 56535, 147
1893, 0, 56680, 135
1894, 0, 56568, 115
1895, 0, 56634, 111
1896, 0, 56798, 133
1897, 0, 57015, 136
1898, 0, 56672, 126
1899, 0, 56326, 126
1900, 0, 56679, 122
1901, 0, 56706, 137
1902, 0, 56563, 128
1903, 0, 56416, 141
1904, 0, 56522, 119
1905, 0, 57107, 116
1906, 0, 56611, 122
1907, 0, 56483, 110
1908, 0, 56850, 128
1909, 0, 56643, 127
1910, 0, 56696, 110
1911, 0, 56429, 129
1912, 0, 56798, 137
1913, 0, 56342, 135
1914, 0, 56708, 138
1915, 0, 56705, 120
1917, 0, 56623, 124
1916, 0, 56999, 121
1918, 0, 56176, 125
1919, 0, 56593, 121
1920, 0, 56880, 112
1921, 0, 56289, 122
1923, 0, 56591, 114
1922, 0, 56554, 123
1924, 0, 56426, 123
1925, 0, 56356, 128
1926, 0, 56797, 125
1927, 0, 56810, 110
1928, 0, 56273, 118
1930, 0, 56635, 129
1929, 0, 56654, 145
1931, 0, 56955, 133
1932, 0, 56551, 128
1933, 0, 56548, 146
1934, 0, 56852, 135
1935, 0, 57050, 125
1936, 0, 56569, 106
1937, 0, 56806, 130
1938, 0, 56551, 113
1939, 0, 56843, 138
1940, 0, 56736, 134
1942, 0, 56890, 120
1941, 0, 56945, 121
1943, 0, 56586, 133
1944, 0, 56699, 123
1945, 0, 56578, 123
1946, 0, 56633, 123
1947, 0, 56020, 128
1948, 0, 57117, 122
1949, 0, 56323, 138
1950, 0, 56832, 114
1951, 0, 56816, 131
1952, 0, 56501, 133
1953, 0, 56788, 137
1954, 0, 56800, 123
1955, 0, 56814, 118
1956, 0, 56869, 134
1957, 0, 56823, 133
1958, 0, 56389, 129
1959, 0, 56598, 123
1960, 0, 56893, 148
1961, 0, 56851, 120
1962, 0, 56608, 127
1963, 0, 56830, 135
1964, 0, 57187, 141
1965, 0, 56725, 124
1966, 0, 56488, 111
1967, 0, 56798, 112
1968, 0, 56595, 116
1969, 0, 56349, 124
1970, 0, 56756, 130
1971, 0, 56619, 128
1972, 0, 56774, 112
1973, 0, 56467, 118
1974, 0, 57013, 130
1975, 0, 56757, 130
1976, 0, 56700, 120
1977, 0, 56628, 140
1978, 0, 56619, 106
1979, 0, 56762, 150
1980, 0, 57198, 139
1981, 0, 56224, 117
1982, 0, 56295, 122
1983, 0, 57293, 133
1984, 0, 56633, 126
1985, 0, 56814, 100
1986, 0, 56800, 114
1987, 0, 56381, 107
1988, 0, 56302, 121
1989, 0, 56384, 144
1990, 0, 57327, 124
1991, 0, 56486, 123
1993, 0, 56782, 127
1992, 0, 56698, 130
1994, 0, 56537, 156
1995, 0, 56551, 112
1996, 0, 56639, 100
1997, 0, 57087, 125
1998, 0, 56645, 116
1999, 0, 56508, 116
